club_speed_mph,ball_speed_mph,smash_factor,attack_angle_deg,launch_angle_deg,spin_rate_rpm,club_path_deg,face_to_path_deg,offline_yards,carry_yards,good_shot
102.44,139.29,1.371,4.4,14.62,2437,2.54,-1.2,-1.4,330.0,1
91.68,132.71,1.421,8.0,17.43,2096,2.22,2.9,16.7,317.2,1
106.0,157.08,1.475,-2.67,12.02,3149,1.61,-0.98,3.5,330.0,1
107.52,153.51,1.444,5.87,17.98,2521,0.22,1.58,6.4,330.0,1
84.39,116.91,1.411,1.71,12.21,1400,-1.57,0.45,5.4,277.7,1
89.58,122.15,1.41,3.92,10.39,2610,-2.44,1.86,8.0,274.8,0
101.02,142.89,1.407,-3.44,17.73,2355,3.87,0.27,12.3,330.0,1
97.47,135.3,1.397,5.9,13.25,1606,2.29,-4.16,-5.9,321.6,1
99.87,148.86,1.55,3.86,12.65,2284,-2.08,2.52,15.8,330.0,0
93.18,135.43,1.468,1.38,13.29,2702,0.12,-0.22,-1.6,321.6,1
107.04,158.64,1.503,3.44,14.4,1656,-0.9,1.97,-2.1,330.0,1
106.22,154.84,1.421,-0.8,11.56,2965,-3.38,1.73,6.0,330.0,1
100.53,140.39,1.439,-0.24,12.86,2958,0.53,-1.93,-1.4,328.8,0
109.02,149.81,1.407,0.11,12.92,2615,-1.25,-2.29,-0.1,330.0,0
103.74,136.69,1.291,-4.06,12.1,2453,-2.86,1.64,10.0,330.0,1
93.13,130.72,1.367,4.09,7.36,1914,-4.44,-0.76,3.7,294.9,0
102.95,136.23,1.341,5.07,20.42,2757,-4.69,2.34,6.3,325.5,1
92.33,119.83,1.315,-0.6,12.35,1956,-1.11,-0.45,-1.5,277.9,0
107.03,149.05,1.378,2.54,15.63,2926,-0.26,2.56,0.3,330.0,1
99.6,146.52,1.529,0.7,9.11,2483,-2.63,1.06,2.4,330.0,0
98.52,137.94,1.447,2.48,12.46,2408,1.95,0.72,1.5,328.1,1
94.55,143.72,1.527,-0.38,10.85,1854,-0.2,-0.94,-2.2,330.0,1
109.78,165.76,1.475,-1.15,17.01,2603,1.73,0.58,4.4,330.0,1
98.76,146.76,1.497,4.66,12.87,2597,-0.55,2.98,12.6,330.0,1
96.57,135.06,1.396,1.31,15.73,1920,-2.36,-0.14,-3.9,330.0,0
97.18,146.8,1.481,7.57,13.7,2370,0.34,1.33,10.7,330.0,1
104.26,161.0,1.494,1.64,12.22,2542,-3.79,0.12,-20.5,330.0,1
102.92,144.24,1.415,-1.28,11.82,2387,1.62,0.31,4.2,330.0,0
103.3,153.21,1.484,5.18,18.66,2674,-2.81,4.31,18.9,330.0,1
103.45,158.07,1.484,3.39,8.52,1405,2.75,3.0,25.0,330.0,0
117.13,162.18,1.417,3.68,10.34,2535,-1.02,0.2,3.9,330.0,1
96.75,136.34,1.383,5.07,8.93,3024,3.19,0.54,15.8,303.7,1
95.9,129.7,1.379,-0.46,9.58,3275,-3.37,-1.75,-9.2,290.4,0
93.49,136.3,1.455,1.12,10.96,2708,-2.03,-0.43,-3.9,315.0,0
104.93,153.6,1.47,0.99,8.5,2405,1.14,0.77,7.3,330.0,1
109.03,150.52,1.402,-2.37,9.97,2456,3.51,2.13,11.6,330.0,1
99.09,141.38,1.452,0.71,7.2,2421,5.0,1.87,7.9,320.8,0
93.28,139.14,1.484,5.51,11.87,2514,0.12,-2.77,-12.6,330.0,1
93.4,141.39,1.487,2.21,17.38,2104,5.51,2.44,8.5,330.0,1
105.2,162.02,1.543,-2.54,13.32,3093,-0.87,-0.22,1.4,330.0,1
105.95,161.91,1.527,-3.17,12.45,3750,3.3,-2.47,-4.6,330.0,1
104.35,146.46,1.39,6.49,12.26,2182,-2.83,3.34,6.1,330.0,1
94.68,144.32,1.55,1.23,8.82,1921,1.26,3.66,10.9,330.0,1
101.86,146.3,1.418,-0.44,9.43,2021,-7.03,0.66,-3.1,330.0,1
100.93,154.73,1.513,0.68,13.11,2909,-3.36,1.77,6.8,330.0,1
101.75,154.46,1.454,-2.93,14.58,2749,1.4,1.92,1.6,330.0,1
106.97,151.52,1.425,5.77,17.73,2648,-3.94,3.49,-0.2,330.0,1
101.79,135.41,1.342,0.32,15.0,2341,1.28,1.82,13.6,325.7,1
105.43,153.71,1.44,5.6,12.75,2638,2.72,-3.32,-16.6,330.0,1
100.54,138.42,1.356,1.65,13.65,2429,-1.5,5.02,19.1,330.0,0
102.31,152.95,1.508,5.79,14.06,1923,-2.91,2.66,15.5,330.0,1
105.05,160.88,1.541,2.27,13.19,2283,-1.42,-1.27,3.6,330.0,1
88.34,125.23,1.402,4.06,20.53,1818,-2.9,-2.57,-8.1,311.1,0
97.44,140.99,1.468,3.66,8.99,3276,-0.3,1.26,8.3,320.8,1
96.24,134.33,1.406,3.37,13.48,2354,0.31,-0.7,11.4,308.1,1
94.89,134.23,1.412,2.54,17.53,2737,-0.92,0.82,-12.2,328.6,0
97.8,148.84,1.496,0.8,8.88,2310,5.02,1.86,9.7,330.0,1
111.96,160.57,1.448,7.25,13.6,1692,-2.16,-1.42,-2.5,330.0,1
93.07,139.66,1.55,-1.22,10.99,2568,4.17,-2.79,-6.8,317.3,0
107.75,148.32,1.421,1.51,12.86,3005,-3.12,0.96,7.1,330.0,1
86.54,127.52,1.51,1.54,8.75,2273,0.22,-1.33,-4.6,298.2,0
97.32,138.4,1.456,2.71,15.73,2046,3.55,0.37,6.3,330.0,0
101.3,151.34,1.498,0.21,15.07,2657,3.39,-3.36,-9.3,330.0,1
104.69,146.02,1.423,2.44,15.38,2678,-1.26,-0.63,-6.9,330.0,1
105.69,151.18,1.447,0.99,10.74,3280,1.67,1.79,5.0,330.0,1
106.35,151.53,1.443,-3.25,12.12,2954,1.26,1.51,8.4,330.0,0
97.21,134.98,1.4,1.53,10.84,2798,-1.62,-1.97,-13.5,319.3,1
96.3,146.77,1.49,-1.8,11.37,3032,1.85,-2.92,-2.3,318.8,0
106.86,160.78,1.489,-3.7,18.16,2303,5.59,0.04,10.8,330.0,1
98.47,146.33,1.486,1.91,13.96,2052,1.42,1.4,13.2,330.0,1
89.79,137.33,1.542,2.96,10.47,1934,1.7,1.01,-1.2,319.6,1
90.93,138.68,1.537,3.08,14.62,1816,2.02,-1.28,-12.3,322.2,1
92.64,133.07,1.428,3.2,10.07,2766,-4.38,0.74,-2.7,307.7,1
103.98,154.55,1.472,-4.3,7.9,2988,1.38,3.76,32.2,330.0,1
101.14,140.6,1.413,-2.58,8.97,2791,-3.05,0.51,5.7,309.6,1
105.52,153.25,1.451,7.42,14.26,1400,-1.77,-4.08,-19.7,330.0,1
96.58,131.49,1.414,-1.64,15.24,3623,6.49,0.51,12.1,304.9,1
101.27,157.21,1.547,3.33,15.9,1998,-0.76,5.11,21.3,330.0,0
105.0,156.45,1.472,-0.56,14.37,3557,-2.22,-3.22,-22.1,330.0,0
97.53,139.44,1.437,1.74,10.31,1844,3.46,0.07,12.6,318.0,1
103.65,162.26,1.522,-0.4,11.24,2258,-2.84,-0.57,-6.4,330.0,1
94.7,122.78,1.32,3.18,14.93,1418,-1.34,0.24,-1.3,312.2,1
97.1,129.6,1.329,1.91,11.78,2648,3.75,0.49,6.3,310.0,0
96.95,145.11,1.498,0.16,12.22,2095,0.13,2.85,17.0,330.0,0
90.43,131.21,1.454,-1.65,13.75,2216,-4.68,0.21,-9.4,310.5,1
103.9,151.92,1.465,2.3,12.76,1844,1.63,3.19,2.9,330.0,1
96.24,132.16,1.37,-2.14,12.93,3078,-1.19,-0.29,-0.5,306.4,1
100.1,147.13,1.449,2.78,18.75,2753,4.62,-0.88,-9.8,330.0,0
103.85,164.41,1.55,8.0,15.28,2935,-1.82,-1.67,-9.8,330.0,1
103.57,155.3,1.499,5.55,18.48,1958,3.15,-4.54,-5.0,330.0,1
105.32,155.83,1.46,3.66,15.96,2479,5.33,0.69,12.3,330.0,1
99.21,139.49,1.424,1.24,9.03,1945,-2.55,5.14,21.2,323.2,0
96.61,139.72,1.426,-4.32,8.18,2708,-0.58,1.15,7.0,322.5,1
99.36,129.48,1.322,-2.47,9.64,2515,1.17,1.72,21.9,317.0,1
86.5,129.49,1.465,5.35,12.31,2488,-2.57,-1.03,-10.2,305.2,0
88.42,138.23,1.501,-0.87,12.42,3110,0.81,-0.61,1.2,330.0,0
89.42,120.9,1.355,-0.6,14.63,3082,-0.67,2.46,5.2,282.2,0
92.02,124.3,1.41,1.0,17.12,2161,-0.74,5.02,22.4,298.8,1
103.2,141.1,1.381,-1.69,13.33,3150,0.15,3.72,12.8,330.0,1
92.76,132.2,1.392,-2.18,10.9,2711,0.21,2.01,17.6,301.0,0
96.97,142.31,1.453,1.35,7.23,2373,0.49,0.09,-2.3,326.3,1
110.39,146.89,1.325,-1.17,12.8,2352,-1.8,0.52,8.1,330.0,1
97.15,146.97,1.487,-0.72,12.82,2391,-1.67,-1.88,-5.0,330.0,1
105.9,159.56,1.495,-0.84,13.25,3435,-0.36,-3.62,-13.3,330.0,1
92.53,135.82,1.435,3.07,20.39,2554,-0.13,-2.82,-6.8,330.0,1
98.36,130.28,1.301,0.8,17.0,2630,-1.32,0.12,0.4,308.4,0
92.4,132.26,1.39,0.96,15.69,2424,0.97,-0.73,0.7,327.1,1
97.29,149.16,1.524,3.29,11.27,3503,-5.44,-3.67,-20.6,330.0,0
106.72,139.22,1.283,1.07,11.84,3123,-2.19,-0.09,-7.2,322.9,1
86.18,122.4,1.429,0.67,12.95,2236,-0.84,-0.8,-5.8,275.4,0
103.48,141.21,1.379,2.91,11.69,2302,-2.57,-2.93,-23.4,327.3,0
101.9,156.94,1.498,3.5,15.73,2293,4.89,-0.93,7.7,330.0,1
95.25,134.79,1.409,1.06,14.44,2602,0.06,-0.8,-10.2,330.0,1
88.43,132.38,1.474,1.74,10.34,2180,0.53,-1.54,-6.1,315.0,1
100.58,149.56,1.484,-0.85,16.29,2848,-1.45,2.32,10.3,330.0,1
95.76,146.97,1.55,-1.08,12.93,3318,-0.05,-4.76,-11.7,330.0,1
101.86,146.49,1.438,3.81,9.15,1780,-3.65,-4.96,-32.4,330.0,0
100.17,151.1,1.473,2.83,13.84,1922,-0.51,0.01,-1.1,330.0,1
112.81,154.92,1.361,2.87,14.85,2211,-2.81,0.24,0.2,330.0,0
98.09,144.95,1.521,2.34,16.74,2263,-0.83,1.01,2.9,330.0,1
91.81,128.4,1.404,1.64,12.56,3401,-7.68,-1.35,-5.9,305.3,0
101.43,148.12,1.416,3.59,16.74,2835,-3.38,-2.29,-17.0,330.0,0
101.76,146.88,1.449,4.31,15.07,2767,4.39,-0.02,-7.1,330.0,1
110.87,145.87,1.356,4.23,10.54,2227,2.49,-1.1,4.0,330.0,1
106.68,160.88,1.464,1.2,9.17,2399,3.96,3.88,15.1,330.0,1
102.85,156.82,1.508,5.66,18.35,1607,4.16,-0.81,-8.4,330.0,0
111.71,163.76,1.468,2.19,17.35,2821,2.02,-0.13,1.0,330.0,1
90.49,121.66,1.355,3.4,15.16,2617,-1.36,6.19,27.4,285.7,0
94.88,139.58,1.443,2.35,18.31,3038,-3.11,-0.49,-13.0,330.0,0
92.59,137.02,1.495,2.24,16.95,2371,3.44,1.39,23.0,330.0,0
96.88,132.43,1.337,-0.71,14.8,2579,0.19,1.62,0.9,319.8,0
88.99,124.65,1.386,3.6,11.53,2460,7.48,1.83,15.9,298.0,0
105.08,158.51,1.503,8.0,20.99,2521,-1.1,0.72,-6.1,330.0,0
98.22,144.38,1.466,0.38,14.74,1916,5.92,0.48,9.0,330.0,0
88.23,129.68,1.475,1.71,12.44,2828,-0.47,0.25,-0.5,306.1,1
91.88,145.02,1.55,0.16,11.05,2581,4.01,-1.44,-9.2,324.5,1
102.51,149.36,1.478,0.04,13.78,2121,5.09,0.81,25.9,330.0,1
106.71,154.88,1.489,6.13,10.13,1400,-3.07,5.07,11.1,330.0,0
115.97,181.3,1.55,-0.52,14.92,2570,-1.45,3.03,5.9,330.0,1
123.31,178.8,1.437,0.08,10.17,3247,-3.1,0.76,4.8,330.0,1
103.32,146.06,1.402,-3.26,12.97,3549,-3.69,2.14,13.9,323.5,0
92.08,136.9,1.476,-0.77,11.16,2806,2.0,-2.17,1.6,330.0,1
82.94,121.65,1.476,-3.63,10.94,3700,-0.59,-0.65,-10.2,277.6,0
102.14,146.85,1.418,3.4,11.92,2377,0.16,2.37,9.8,330.0,1
93.5,129.66,1.388,8.0,15.32,2549,1.67,3.72,3.7,299.5,0
96.68,148.63,1.55,0.4,18.81,2373,-5.57,-1.93,-8.0,330.0,0
95.1,138.98,1.47,-3.5,15.93,2578,3.86,-1.21,-9.4,330.0,1
98.87,144.07,1.406,4.2,15.53,2043,-1.05,5.45,13.0,330.0,0
108.53,158.99,1.505,-0.68,12.69,1714,1.6,0.24,2.7,330.0,0
101.26,147.41,1.443,5.4,17.42,2855,1.86,4.56,20.9,330.0,1
98.73,137.46,1.435,0.65,16.62,2272,4.11,0.52,5.2,330.0,0
91.71,135.81,1.484,-0.4,10.37,2263,-0.31,0.62,10.9,315.6,0
86.6,117.78,1.372,0.97,13.11,2011,-6.37,-0.76,-6.0,291.5,1
